01-01;06:49;08:46;12:24;13:44;16:00;17:50
02-01;06:49;08:46;12:24;13:45;16:01;17:51
03-01;06:49;08:45;12:25;13:46;16:02;17:52
04-01;06:49;08:45;12:25;13:47;16:03;17:53
05-01;06:48;08:44;12:25;13:49;16:05;17:54
06-01;06:48;08:44;12:26;13:50;16:06;17:56
07-01;06:47;08:43;12:26;13:51;16:08;17:57
08-01;06:47;08:43;12:27;13:52;16:09;17:58
09-01;06:47;08:42;12:27;13:53;16:11;17:59
10-01;06:46;08:41;12:27;13:55;16:12;18:01
11-01;06:45;08:40;12:28;13:56;16:14;18:02
12-01;06:45;08:39;12:28;13:57;16:16;18:04
13-01;06:44;08:38;12:29;13:59;16:17;18:05
14-01;06:43;08:37;12:29;14:00;16:19;18:06
15-01;06:43;08:36;12:29;14:01;16:21;18:08
16-01;06:42;08:35;12:30;14:03;16:23;18:09
17-01;06:41;08:34;12:30;14:04;16:24;18:11
18-01;06:40;08:32;12:30;14:06;16:26;18:12
19-01;06:39;08:31;12:31;14:07;16:28;18:14
20-01;06:38;08:30;12:31;14:09;16:30;18:16
21-01;06:37;08:28;12:31;14:10;16:32;18:17
22-01;06:36;08:27;12:31;14:12;16:34;18:19
23-01;06:35;08:25;12:32;14:13;16:36;18:21
24-01;06:33;08:24;12:32;14:15;16:38;18:22
25-01;06:32;08:22;12:32;14:17;16:40;18:24
26-01;06:31;08:21;12:32;14:18;16:42;18:26
27-01;06:30;08:19;12:33;14:20;16:44;18:28
28-01;06:28;08:17;12:33;14:21;16:46;18:29
29-01;06:27;08:16;12:33;14:23;16:48;18:31
30-01;06:25;08:14;12:33;14:25;16:51;18:33
31-01;06:24;08:12;12:33;14:26;16:53;18:35
01-02;06:22;08:10;12:33;14:28;16:55;18:36
02-02;06:21;08:08;12:34;14:30;16:57;18:38
03-02;06:19;08:06;12:34;14:31;16:59;18:40
04-02;06:18;08:04;12:34;14:33;17:01;18:42
05-02;06:16;08:02;12:34;14:35;17:03;18:44
06-02;06:14;08:00;12:34;14:36;17:06;18:46
07-02;06:13;07:58;12:34;14:38;17:08;18:47
08-02;06:11;07:56;12:34;14:40;17:10;18:49
09-02;06:09;07:54;12:34;14:42;17:12;18:51
10-02;06:07;07:52;12:34;14:43;17:14;18:53
11-02;06:06;07:50;12:34;14:45;17:17;18:55
12-02;06:04;07:48;12:34;14:47;17:19;18:57
13-02;06:02;07:46;12:34;14:48;17:21;18:59
14-02;06:00;07:43;12:34;14:50;17:23;19:01
15-02;05:58;07:41;12:34;14:52;17:25;19:02
16-02;05:56;07:39;12:34;14:53;17:27;19:04
17-02;05:54;07:37;12:34;14:55;17:30;19:06
18-02;05:52;07:34;12:34;14:56;17:32;19:08
19-02;05:50;07:32;12:34;14:58;17:34;19:10
20-02;05:48;07:30;12:34;15:00;17:36;19:12
21-02;05:46;07:27;12:34;15:01;17:38;19:14
22-02;05:44;07:25;12:34;15:03;17:40;19:16
23-02;05:42;07:23;12:33;15:05;17:43;19:18
24-02;05:39;07:20;12:33;15:06;17:45;19:20
25-02;05:37;07:18;12:33;15:08;17:47;19:21
26-02;05:35;07:15;12:33;15:09;17:49;19:23
27-02;05:33;07:13;13:03;15:11;17:51;19:25
28-02;05:31;07:10;12:33;15:12;17:53;19:27
01-03;05:28;07:08;12:33;15:14;17:55;19:29
02-03;05:26;07:05;12:32;15:15;17:57;19:31
03-03;05:24;07:03;12:32;15:17;17:59;19:33
04-03;05:21;07:00;12:32;15:18;18:02;19:35
05-03;05:19;06:58;12:32;15:20;18:04;19:37
06-03;05:17;06:55;12:31;15:21;18:06;19:39
07-03;05:14;06:53;12:31;15:23;18:08;19:41
08-03;05:12;06:50;12:31;15:24;18:10;19:43
09-03;05:09;06:48;12:31;15:25;18:12;19:45
10-03;05:07;06:45;12:31;15:27;18:14;19:46
11-03;05:04;06:43;12:30;15:28;18:16;19:48
12-03;05:02;06:40;12:30;15:30;18:18;19:50
13-03;04:59;06:37;12:30;15:31;18:20;19:52
14-03;04:57;06:35;12:29;15:32;18:22;19:54
15-03;04:54;06:32;12:29;15:34;18:24;19:56
16-03;04:52;06:30;12:29;15:35;18:26;19:58
17-03;04:49;06:27;12:29;15:36;18:28;20:00
18-03;04:47;06:24;12:28;15:38;18:30;20:02
19-03;04:44;06:22;12:28;15:39;18:32;20:04
20-03;04:42;06:19;12:28;15:40;18:34;20:06
21-03;04:39;06:17;12:27;15:41;18:36;20:08
22-03;04:36;06:14;12:27;15:43;18:38;20:10
23-03;04:34;06:11;12:27;15:44;18:40;20:12
24-03;04:31;06:09;12:26;15:45;18:42;20:14
25-03;04:29;06:06;12:26;15:46;18:44;20:16
26-03;04:26;06:03;12:26;15:47;18:46;20:18
27-03;04:23;06:01;12:25;15:49;18:48;20:20
28-03;04:21;06:08;12:25;15:50;18:50;20:20
29-03;04:18;05:56;12:25;15:50;18:52;20:24
30-03;04:15;05:53;12:25;15:52;18:54;20:26
31-03;05:13;06:50;13:24;16:53;19:56;21:28
01-04;05:10;06:48;13:24;16:54;19:58;21:30
02-04;05:07;06:45;13:24;16:55;20:00;21:32
03-04;05:04;06:42;13:23;16:56;20:02;21:34
04-04;05:02;06:40;13:23;16:57;20:04;21:36
05-04;04:59;06:37;13:23;16:59;20:06;21:38
06-04;04:56;06:35;13:22;17:00;20:08;21:40
07-04;04:54;06:32;13:22;17:01;20:10;21:42
08-04;04:51;06:29;13:22;17:02;20:12;21:45
09-04;04:48;06:27;13:21;17:03;20:14;21:47
10-04;04:46;06:24;13:21;17:04;20:16;21:49
11-04;04:43;06:22;13:21;17:05;20:18;21:51
12-04;04:40;06:19;13:21;17:06;20:20;21:53
13-04;04:37;06:17;13:20;17:07;20:22;21:55
14-04;04:35;06:14;13:20;17:08;20:24;21:57
15-04;04:32;06:12;13:20;17:09;20:26;21:59
16-04;04:29;06:09;13:20;17:10;20:28;22:02
17-04;04:27;06:07;13:19;17:11;20:30;22:04
